"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Serious Project\React Native\FoodOrdering\src\enums\SizeEnum.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Serious Project\React Native\FoodOrdering\src\firebase\firebaseConfig.ts", "TypeScript", 19, 0, 0, 0, 7, 26
"c:\Serious Project\React Native\FoodOrdering\src\firebase\firebaseService.ts", "TypeScript", 48, 0, 0, 2, 5, 55
"c:\Serious Project\React Native\FoodOrdering\src\redux\authSlice.ts", "TypeScript", 148, 0, 0, 4, 8, 160
"c:\Serious Project\React Native\FoodOrdering\src\redux\cartSlice.ts", "TypeScript", 117, 0, 0, 0, 8, 125
"c:\Serious Project\React Native\FoodOrdering\src\redux\createProductSlice.ts", "TypeScript", 43, 0, 0, 0, 5, 48
"c:\Serious Project\React Native\FoodOrdering\src\redux\productsSlice.ts", "TypeScript", 81, 0, 0, 3, 13, 97
"c:\Serious Project\React Native\FoodOrdering\src\redux\store.ts", "TypeScript", 16, 0, 0, 1, 2, 19
"c:\Serious Project\React Native\FoodOrdering\src\types\type.ts", "TypeScript", 53, 0, 0, 9, 16, 78
"c:\Serious Project\React Native\FoodOrdering\src\util\useAuth.ts", "TypeScript", 13, 0, 0, 0, 3, 16
"c:\Serious Project\React Native\FoodOrdering\src\util\useKeyboardHeight.ts", "TypeScript", 21, 0, 0, 0, 9, 30
"Total", "-", 572, 1908, 7, 69, 268, 2824
